,region,value,device_type
8866,UT,17.0,ios
8867,UT,22.0,android
8868,UT,17.0,ios
8869,UT,14.0,android
8870,UT,6.0,ios
8877,GA,38.0,android
8878,GA,30.0,ios
8879,GA,19.0,android
8880,GA,18.0,ios
8881,GA,16.0,android
8882,GA,18.0,ios
8924,UT,4.0,android
8925,UT,6.0,ios
8926,UT,6.0,android
8927,UT,6.0,ios
8928,UT,0.0,android
8929,UT,7.0,ios
8989,GA,12.0,android
8990,GA,4.0,ios
8991,GA,9.0,android
8992,GA,4.0,ios
8993,GA,4.0,android
8994,GA,4.0,ios
8995,UT,70.0,android
8996,UT,75.0,ios
8997,UT,81.0,android
8998,UT,103.0,ios
8999,UT,89.0,android
9000,UT,67.0,ios
9033,GA,22.0,android
9034,GA,34.0,ios
9035,GA,25.0,android
9036,GA,33.0,ios
9037,GA,21.0,android
9038,GA,42.0,ios
9059,UT,0.0,android
9060,UT,4.0,ios
9061,UT,4.0,android
9062,UT,6.0,ios
9063,UT,4.0,android
9064,UT,0.0,ios
9071,UT,28.0,android
9072,UT,14.0,ios
9073,UT,34.0,android
9074,UT,15.0,ios
9075,UT,38.0,android
9076,UT,17.0,ios
9139,UT,63.0,android
9140,UT,33.0,ios
9141,UT,62.0,android
9142,UT,33.0,ios
9143,UT,80.0,android
9144,UT,37.0,ios
9151,UT,22.0,android
9152,UT,50.0,ios
9153,UT,26.0,android
9154,UT,39.0,ios
9155,UT,15.0,android
9156,UT,38.0,ios
9392,UT,36.0,android
9393,UT,27.0,ios
9394,UT,31.0,android
9395,UT,21.0,ios
9396,UT,33.0,android
9397,UT,23.0,ios
9405,UT,8.0,android
9406,UT,6.0,ios
9407,UT,6.0,android
9408,UT,5.0,ios
9409,UT,4.0,android
9410,UT,8.0,ios
9412,UT,37.0,android
9413,UT,45.0,ios
9414,UT,16.0,android
9415,UT,38.0,ios
9416,UT,28.0,android
9417,UT,38.0,ios
9454,UT,8.0,android
9455,UT,0.0,ios
9456,UT,4.0,android
9457,UT,0.0,ios
9458,UT,4.0,android
9459,UT,0.0,ios
9467,UT,22.0,android
9468,UT,22.0,ios
9469,UT,14.0,android
9470,UT,12.0,ios
9471,UT,16.0,android
9472,UT,19.0,ios
9491,UT,11.0,android
9492,UT,7.0,ios
9493,UT,9.0,android
9494,UT,4.0,ios
9495,UT,6.0,android
9496,UT,6.0,ios
9587,UT,32.0,android
9588,UT,23.0,ios
9589,UT,35.0,android
9590,UT,21.0,ios
9591,UT,30.0,android
9592,UT,22.0,ios
9618,UT,22.0,android
9619,UT,35.0,ios
9620,UT,26.0,android
